reservoir,storage,capacity,date,state
"Flaming Gorge",3056619,3788700,05/2001,UT
"Flaming Gorge",3051927,3788700,05/2001,UT
"Flaming Gorge",3049417,3788700,05/2001,UT
"Flaming Gorge",3046908,3788700,05/2001,UT
"Flaming Gorge",3044032,3788700,05/2001,UT
"Flaming Gorge",3041527,3788700,05/2001,UT
"Flaming Gorge",3035069,3788700,05/2001,UT
"Flaming Gorge",3030421,3788700,05/2001,UT
"Flaming Gorge",3026475,3788700,05/2001,UT
"Flaming Gorge",3023266,3788700,05/2001,UT
"Flaming Gorge",3024330,3788700,05/2001,UT
"Flaming Gorge",3021489,3788700,05/2001,UT
"Flaming Gorge",3025760,3788700,05/2001,UT
"Flaming Gorge",3022552,3788700,05/2001,UT
"Flaming Gorge",3023981,3788700,05/2001,UT
"Flaming Gorge",3024330,3788700,05/2001,UT
"Flaming Gorge",3025045,3788700,06/2001,UT
"Flaming Gorge",3027191,3788700,06/2001,UT
"Flaming Gorge",3027906,3788700,06/2001,UT
"Flaming Gorge",3028273,3788700,06/2001,UT
"Flaming Gorge",3028273,3788700,06/2001,UT
"Flaming Gorge",3029338,3788700,06/2001,UT
"Flaming Gorge",3029338,3788700,06/2001,UT
"Flaming Gorge",3030054,3788700,06/2001,UT
"Flaming Gorge",3029338,3788700,06/2001,UT
"Flaming Gorge",3029338,3788700,06/2001,UT
"Flaming Gorge",3030421,3788700,06/2001,UT
"Flaming Gorge",3030054,3788700,06/2001,UT
"Flaming Gorge",3029338,3788700,06/2001,UT
"Flaming Gorge",3028622,3788700,06/2001,UT
"Flaming Gorge",3028622,3788700,06/2001,UT
"Flaming Gorge",3028273,3788700,06/2001,UT
"Flaming Gorge",3028273,3788700,06/2001,UT
"Flaming Gorge",3027906,3788700,06/2001,UT
