reservoir,storage,capacity,date,state
"Red Fleet",19462.42,26000,03/2001,UT
"Red Fleet",19475.59,26000,03/2001,UT
"Red Fleet",19497.25,26000,03/2001,UT
"Red Fleet",19505.96,26000,03/2001,UT
"Red Fleet",19523.38,26000,03/2001,UT
"Red Fleet",19540.79,26000,03/2001,UT
"Red Fleet",19553.75,26000,03/2001,UT
"Red Fleet",19566.92,26000,03/2001,UT
"Red Fleet",19584.34,26000,03/2001,UT
"Red Fleet",19606,26000,03/2001,UT
"Red Fleet",19632.49,26000,03/2001,UT
"Red Fleet",19645.62,26000,03/2001,UT
"Red Fleet",19658.97,26000,03/2001,UT
"Red Fleet",19672.11,26000,03/2001,UT
"Red Fleet",19685.46,26000,03/2001,UT
"Red Fleet",19703.12,26000,03/2001,UT
"Red Fleet",19711.94,26000,03/2001,UT
"Red Fleet",19720.56,26000,03/2001,UT
"Red Fleet",19738.21,26000,03/2001,UT
"Red Fleet",19760.39,26000,03/2001,UT
"Red Fleet",19773.53,26000,03/2001,UT
"Red Fleet",19791.19,26000,03/2001,UT
"Red Fleet",19808.84,26000,03/2001,UT
"Red Fleet",19826.5,26000,03/2001,UT
"Red Fleet",19835.33,26000,03/2001,UT
"Red Fleet",19848.46,26000,03/2001,UT
"Red Fleet",19861.81,26000,03/2001,UT
"Red Fleet",19874.95,26000,03/2001,UT
"Red Fleet",19901.44,26000,03/2001,UT
"Red Fleet",19923.62,26000,03/2001,UT
"Red Fleet",19945.58,26000,04/2001,UT
"Red Fleet",19963.24,26000,04/2001,UT
"Red Fleet",19980.89,26000,04/2001,UT
"Red Fleet",20002.86,26000,04/2001,UT
"Red Fleet",20029.34,26000,04/2001,UT
"Red Fleet",20082.79,26000,04/2001,UT
"Red Fleet",20118.59,26000,04/2001,UT
"Red Fleet",20154.38,26000,04/2001,UT
"Red Fleet",20194.54,26000,04/2001,UT
"Red Fleet",20221.39,26000,04/2001,UT
"Red Fleet",20239.29,26000,04/2001,UT
"Red Fleet",20270.5,26000,04/2001,UT
"Red Fleet",20288.4,26000,04/2001,UT
"Red Fleet",20310.66,26000,04/2001,UT
"Red Fleet",20333.14,26000,04/2001,UT
"Red Fleet",20359.99,26000,04/2001,UT
"Red Fleet",20395.56,26000,04/2001,UT
"Red Fleet",20431.36,26000,04/2001,UT
"Red Fleet",20489.63,26000,04/2001,UT
"Red Fleet",20539.34,26000,04/2001,UT
"Red Fleet",20643.53,26000,04/2001,UT
"Red Fleet",20765.84,26000,04/2001,UT
"Red Fleet",20842.82,26000,04/2001,UT
"Red Fleet",20901.66,26000,04/2001,UT
"Red Fleet",20956.21,26000,04/2001,UT
"Red Fleet",21029.88,26000,04/2001,UT
"Red Fleet",21209.12,26000,04/2001,UT
"Red Fleet",21384.09,26000,04/2001,UT
"Red Fleet",21723.96,26000,04/2001,UT
"Red Fleet",22098,26000,04/2001,UT
"Red Fleet",22438,26000,05/2001,UT
"Red Fleet",22667,26000,05/2001,UT
"Red Fleet",22946,26000,05/2001,UT
"Red Fleet",23076,26000,05/2001,UT
"Red Fleet",23159,26000,05/2001,UT
"Red Fleet",23189.73,26000,05/2001,UT
"Red Fleet",23214.07,26000,05/2001,UT
"Red Fleet",23257.55,26000,05/2001,UT
"Red Fleet",23306,26000,05/2001,UT
"Red Fleet",23482.33,26000,05/2001,UT
"Red Fleet",23649.1,26000,05/2001,UT
"Red Fleet",23835.72,26000,05/2001,UT
"Red Fleet",23954.63,26000,05/2001,UT
"Red Fleet",24202.63,26000,05/2001,UT
"Red Fleet",24367.4,26000,05/2001,UT
"Red Fleet",24603.92,26000,05/2001,UT
"Red Fleet",24774.86,26000,05/2001,UT
"Red Fleet",25004.18,26000,05/2001,UT
"Red Fleet",25228.55,26000,05/2001,UT
"Red Fleet",25356.65,26000,05/2001,UT
"Red Fleet",25470.03,26000,05/2001,UT
"Red Fleet",25635.31,26000,05/2001,UT
"Red Fleet",25784.97,26000,05/2001,UT
"Red Fleet",25909.87,26000,05/2001,UT
"Red Fleet",25956.86,26000,05/2001,UT
"Red Fleet",25988.27,26000,05/2001,UT
"Red Fleet",26004.1,26000,05/2001,UT
"Red Fleet",26014.57,26000,05/2001,UT
"Red Fleet",26014.57,26000,05/2001,UT
"Red Fleet",25983.16,26000,05/2001,UT
"Red Fleet",25956.86,26000,05/2001,UT
"Red Fleet",25979,26000,06/2001,UT
"Red Fleet",25927,26000,06/2001,UT
"Red Fleet",25943,26000,06/2001,UT
"Red Fleet",25937,26000,06/2001,UT
"Red Fleet",25948,26000,06/2001,UT
"Red Fleet",25979,26000,06/2001,UT
"Red Fleet",25995,26000,06/2001,UT
"Red Fleet",25963,26000,06/2001,UT
"Red Fleet",26010,26000,06/2001,UT
"Red Fleet",26000,26000,06/2001,UT
"Red Fleet",25979,26000,06/2001,UT
"Red Fleet",25927,26000,06/2001,UT
